Tags	Asker Reputation	Asker Id	User type	Profile Image	Asker Name	Link to Asker	Is Answered	View Count	Answer Count	Score	last_activity_date	creation_date	last_edit_date	Question Id	link	Title	Answerer reputation	Answerer Id	Answerer user_type	Answerer accept rate	Answerer profile_image	Answerer Name	Answerer link	Is Accepted	Answerer score	last_activity_date	last_edit_date	creation_date	Answer_id	Question_id
['python', 'python-3.x', 'plotly', 'plotly-python']	23	11990789	registered	https://www.gravatar.com/avatar/87b4740de752e3da12072a893b3b5e41?s=128&d=identicon&r=PG&f=1	Gastyr	https://stackoverflow.com/users/11990789/gastyr	False	19	1	2	1573260587	1573229108	N/A	58770063	https://stackoverflow.com/questions/58770063/how-to-make-mixed-statistical-subplots-using-plotly-in-python	How to make mixed statistical subplots using plotly in python?	4017	6560549	registered	N/A	https://i.stack.imgur.com/8OQgD.jpg?s=128&g=1	SuperShoot	https://stackoverflow.com/users/6560549/supershoot	False	0	1573258653	N/A	1573258653	58775251	58765033
['python', 'generator']	6	9458508	registered	https://www.gravatar.com/avatar/c559294794b33c4cc48c87f58e4b877b?s=128&d=identicon&r=PG&f=1	MattMcEwen	https://stackoverflow.com/users/9458508/mattmcewen	False	21	0	0	1573260584	1573258958	N/A	58775283	https://stackoverflow.com/questions/58775283/how-to-create-a-custom-generator-class-in-python	How to create a custom generator class in python	1	12345551	registered	N/A	https://www.gravatar.com/avatar/fb67918b445845f49171adc70d3cb55b?s=128&d=identicon&r=PG	He3lixxx	https://stackoverflow.com/users/12345551/he3lixxx	False	0	1573258620	1573258620	1573257224	58775110	58732225
['python', 'html', 'flask', 'sqlalchemy', 'pythonanywhere']	3	12298417	registered	https://www.gravatar.com/avatar/55bfe24a1231157c92d6827f7174b6e2?s=128&d=identicon&r=PG&f=1	tomjjoy123	https://stackoverflow.com/users/12298417/tomjjoy123	False	6	0	0	1573260523	1573259928	1573260523	58775377	https://stackoverflow.com/questions/58775377/prompting-user-to-search-for-something-from-database-using-python-flask-sqlalc	Prompting user to search for something from database using python, flask, Sqlalchemy, and HTML	32846	7976758	registered	N/A	https://www.gravatar.com/avatar/512cfbaf98d63ca4acd57b2df792aec6?s=128&d=identicon&r=PG	phd	https://stackoverflow.com/users/7976758/phd	False	0	1573258600	N/A	1573258600	58775247	58774811
['python', 'if-statement', 'statements']	2	1871188	registered	https://www.gravatar.com/avatar/e3f08eb21066d38e29a7750c3fa900d9?s=128&d=identicon&r=PG	user1871188	https://stackoverflow.com/users/1871188/user1871188	False	20	0	-2	1573260461	1573260279	1573260461	58775405	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l	can&#39;t I do an if statement asking if a variable is greater than one number and less than another?	1154	2288252	registered	N/A	https://www.gravatar.com/avatar/41f69be0d55d1f462395b128278a951d?s=128&d=identicon&r=PG	Xedret	https://stackoverflow.com/users/2288252/xedret	False	0	1573258537	N/A	1573258537	58775238	16986658
['python', 'if-statement', 'statements']	2	1871188	registered	https://www.gravatar.com/avatar/e3f08eb21066d38e29a7750c3fa900d9?s=128&d=identicon&r=PG	user1871188	https://stackoverflow.com/users/1871188/user1871188	False	20	0	-2	1573260461	1573260279	1573260461	58775405	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l	can&#39;t I do an if statement asking if a variable is greater than one number and less than another?	323439	9530	registered	78	https://www.gravatar.com/avatar/924800e76876546c5c575c0175e1f434?s=128&d=identicon&r=PG	Adam Rosenfield	https://stackoverflow.com/users/9530/adam-rosenfield	False	4	1370615910	1370615910	1370615834	16986734	16986658
['python', 'if-statement', 'statements']	2	1871188	registered	https://www.gravatar.com/avatar/e3f08eb21066d38e29a7750c3fa900d9?s=128&d=identicon&r=PG	user1871188	https://stackoverflow.com/users/1871188/user1871188	False	20	0	-2	1573260461	1573260279	1573260461	58775405	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l	can&#39;t I do an if statement asking if a variable is greater than one number and less than another?	72030	296974	registered	100	https://www.gravatar.com/avatar/0e26cfe3ac75cd582ca200fbc6fa0421?s=128&d=identicon&r=PG	glglgl	https://stackoverflow.com/users/296974/glglgl	False	0	1370615850	N/A	1370615850	16986740	16986658
['python', 'setup.py', 'pythonpath']	163	10981932	registered	https://i.stack.imgur.com/Icgqz.jpg?s=128&g=1	AOrona	https://stackoverflow.com/users/10981932/aorona	True	38	3	0	1573260439	1572380317	N/A	58614817	https://stackoverflow.com/questions/58614817/how-can-i-add-paths-to-the-pythonpath-or-path-variables-when-a-script-within-m	How can I add paths to the $PYTHONPATH or $PATH variables when a script within my python project is executed?	13570	6243352	registered	N/A	https://www.gravatar.com/avatar/715f60f9edc65642a6805752cfeebb27?s=128&d=identicon&r=PG&f=1	ggorlen	https://stackoverflow.com/users/6243352/ggorlen	False	3	1573258535	1573258535	1573257685	58775149	58775125
['python', 'setup.py', 'pythonpath']	163	10981932	registered	https://i.stack.imgur.com/Icgqz.jpg?s=128&g=1	AOrona	https://stackoverflow.com/users/10981932/aorona	True	38	3	0	1573260439	1572380317	N/A	58614817	https://stackoverflow.com/questions/58614817/how-can-i-add-paths-to-the-pythonpath-or-path-variables-when-a-script-within-m	How can I add paths to the $PYTHONPATH or $PATH variables when a script within my python project is executed?	16	12332712	registered	N/A	https://lh3.googleusercontent.com/a-/AAuE7mC9GH8bjUeB_kepVtnCZup2nhDswPc1xf8jD31V=k-s128=k-s128	PythonNerd	https://stackoverflow.com/users/12332712/pythonnerd	False	0	1573258338	N/A	1573258338	58775212	58775125
['python']	4	9879394	registered	https://www.gravatar.com/avatar/8f068f8e5e7ef3332289000b157a7310?s=128&d=identicon&r=PG&f=1	katie	https://stackoverflow.com/users/9879394/katie	False	8	0	-1	1573260355	1573259818	1573260355	58775364	https://stackoverflow.com/questions/58775364/how-can-i-format-the-final-message-to-have-the-final-grade	How can I format the final message to have the final grade?	19591	6553328	registered	N/A	https://i.stack.imgur.com/p9vHq.jpg?s=128&g=1	Emma	https://stackoverflow.com/users/6553328/emma	False	0	1573258532	N/A	1573258532	58775237	58775165
['python', 'python-3.x', 'destructor']	6	12337744	registered	https://lh3.googleusercontent.com/-w-7knQY2Hss/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfcZe2CnVdgi3JtyVavQKDIiWOlHg/photo.jpg?sz=128	NEWMS	https://stackoverflow.com/users/12337744/newms	True	33	2	1	1573260301	1573137408	1573139426	58751045	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i	Is there any way that class&#39;s destructor isn&#39;t called when process is finished in python?	8555	10189214	registered	N/A	https://lh5.googleusercontent.com/-oTTBaX3HSZQ/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7ohHVatc4khqXgYvNrBM40bMFj71Q/mo/photo.jpg?sz=128	Andy L.	https://stackoverflow.com/users/10189214/andy-l	False	0	1573258527	N/A	1573258527	58775235	58773957
['python', 'python-3.x', 'destructor']	6	12337744	registered	https://lh3.googleusercontent.com/-w-7knQY2Hss/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfcZe2CnVdgi3JtyVavQKDIiWOlHg/photo.jpg?sz=128	NEWMS	https://stackoverflow.com/users/12337744/newms	True	33	2	1	1573260301	1573137408	1573139426	58751045	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i	Is there any way that class&#39;s destructor isn&#39;t called when process is finished in python?	91	8719334	registered	N/A	https://lh5.googleusercontent.com/-iwm39bBzgd0/AAAAAAAAAAI/AAAAAAAALiU/aG9yDAL-A0o/photo.jpg?sz=128	Sarvagya Dubey	https://stackoverflow.com/users/8719334/sarvagya-dubey	False	0	1573252084	N/A	1573252084	58774513	58773957
['python', 'python-3.x', 'destructor']	6	12337744	registered	https://lh3.googleusercontent.com/-w-7knQY2Hss/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfcZe2CnVdgi3JtyVavQKDIiWOlHg/photo.jpg?sz=128	NEWMS	https://stackoverflow.com/users/12337744/newms	True	33	2	1	1573260301	1573137408	1573139426	58751045	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i	Is there any way that class&#39;s destructor isn&#39;t called when process is finished in python?	778	1838257	registered	N/A	https://www.gravatar.com/avatar/540386102f92985c85ced9c6b237dd60?s=128&d=identicon&r=PG	jorijnsmit	https://stackoverflow.com/users/1838257/jorijnsmit	False	1	1573249794	N/A	1573249794	58774199	58773957
['python', 'pygame', 'pong']	1	10168510	registered	https://www.gravatar.com/avatar/591548be80315d889728244440e95234?s=128&d=identicon&r=PG&f=1	zackattack60	https://stackoverflow.com/users/10168510/zackattack60	False	7	0	0	1573260188	1573260188	N/A	58775396	https://stackoverflow.com/questions/58775396/need-to-get-black-hole-working-has-to-collide-with-ball	Need to Get Black Hole Working, Has to Collide with Ball	36	12345346	unregistered	N/A	https://www.gravatar.com/avatar/8098378e62ed53bb94a63d854d232e68?s=128&d=identicon&r=PG	sr.perro	https://stackoverflow.com/users/12345346/sr-perro	True	2	1573258444	1573258444	1573247205	58773805	58766671
['python', 'pygame', 'pong']	1	10168510	registered	https://www.gravatar.com/avatar/591548be80315d889728244440e95234?s=128&d=identicon&r=PG&f=1	zackattack60	https://stackoverflow.com/users/10168510/zackattack60	False	7	0	0	1573260188	1573260188	N/A	58775396	https://stackoverflow.com/questions/58775396/need-to-get-black-hole-working-has-to-collide-with-ball	Need to Get Black Hole Working, Has to Collide with Ball	312	11796003	registered	N/A	https://i.stack.imgur.com/B6BwK.jpg?s=128&g=1	Adam Strauss	https://stackoverflow.com/users/11796003/adam-strauss	False	0	1573220885	N/A	1573220885	58767819	58766671
